Person Chinese Name,Person Pinyin Name,Person Title,Person Branch,PBSC Chinese Name,PBSC Pinyin Name,Shared Anchor,Anchor Type,Binary Overlap,Episode Pair Count,Total Overlap Years,Max Continuous Overlap Years,Earliest Overlap Start,Latest Overlap End,Years From Last Overlap To 20th CC,Timing Bucket,Person Rank At Overlap,Person Career Stage At Overlap,PBSC Member Rank At Overlap,PBSC Member Career Stage At Overlap,Role Relationship,Context System Tags,Mechanical Confidence,Confidence Rationale,Manual Faction Label,Manual Faction Notes,Weighted Overlap Score,Person Biography Status,Person Episode Count,Person Data Quality,Person Is Baidu Gap,Sample Evidence
信长星,Xin Changxing,Secretary of the Jiangsu Provincial Party Committee ,Provincial committee,李希,Li Xi,陕西,province/municipality,1,2,3,3,2004,2006,16,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,6.0,matched_title,25,usable,,"陕西 2004-2006: 2005-2006 劳动和社会保障部规划财务司司长（2004.02-2006.01 挂职任陕西省西安市委常委、副市长） ↔ 李希 2004-2006 陕西省委常委、秘书长
陕西 2006-2006: 2005-2006 劳动和社会保障部规划财务司司长（2004.02-2006.01 挂职任陕西省西安市委常委、副市长） ↔ 李希 2006-2011 陕西省委常委、延安市委书记 （其间：2007-2009年 兼任延安市人大常委会主任；2008-2011年 清华大学经济管理学院高级管理人员工商管理专业学习，获高级管理人员工商管理硕士学位）"
傅华,Fu Hua,Editor-In-Chief of Xinhua News Agency,Central Party apparatus,蔡奇,Cai Qi,北京,province/municipality,1,3,1,1,2017,2017,5,recent before 20th Congress,4,ministerial/provincial chief,5,national leadership,PBSC member likely senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,3.25,matched_title,13,usable,,"北京 2017-2017: 2017-2017 01月，任北京市委宣传部常务副部长。 ↔ 蔡奇 2016-2017 北京市委副书记、代市长、市长，北京2022年冬奥会和冬残奥会组织委员会执行主席、党组副书记
北京 2017-2017: 2017-2017 01月，任北京市委宣传部常务副部长。 ↔ 蔡奇 2017-2017 北京市委书记，北京2022年冬奥会和冬残奥会组织委员会主席、党组书记
北京 2017-2017: 2017-2017 01月，任北京市委宣传部常务副部长。 ↔ 蔡奇 2017-2022 中央政治局委员，北京市委书记，北京2022年冬奥会和冬残奥会组织委员会主席、党组书记"
傅华,Fu Hua,Editor-In-Chief of Xinhua News Agency,Central Party apparatus,李希,Li Xi,广东,province/municipality,1,1,1,1,2018,2018,4,recent before 20th Congress,4,ministerial/provincial chief,5,national leadership,PBSC member likely senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,13,usable,,广东 2018-2018: 2018-2018 03月，任广东省委常委、宣传部部长。 ↔ 李希 2017-2022 中央政治局委员，广东省委书记
冯飞,Feng Fei,Party Secretary of Hainan; Secretary General of the SCMPC; Senior Party Secretary of the Hainan Provincial Military Region Party Committee; Director of Hainan Local Financial Supervision and Administration Bureau,Provincial committee,李强,Li Qiang,浙江,province/municipality,1,1,1,1,2016,2016,6,medium-term before 20th Congress,4,ministerial/provincial chief,4,ministerial/provincial chief,near-peer rank at overlap,,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,22,usable,,浙江 2016-2016: 2016-2017 浙江省副省长 ↔ 李强 2013-2016 浙江省委副书记、省长
刘伟,Liu Wei,Secretary of the Party Leadership Group and the Ministry of the Ministry of Transport,State Council,蔡奇,Cai Qi,北京,province/municipality,1,2,2,2,2022,2023,0,active/after 20th Congress,3,vice-ministerial/provincial deputy,5,national leadership,PBSC member clearly senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,4.5,matched_title,31,usable,,"北京 2022-2022: 2022-2024 北京市委副书记，市委党校（北京行政学院）校长（院长），市对外友协会长 ↔ 蔡奇 2017-2022 中央政治局委员，北京市委书记，北京2022年冬奥会和冬残奥会组织委员会主席、党组书记
北京 2022-2023: 2022-2024 北京市委副书记，市委党校（北京行政学院）校长（院长），市对外友协会长 ↔ 蔡奇 2022-2023 中央 政治局常委、中央书记处书记，北京2022年冬奥会和冬残奥会组织委员会主席、党组书记"
刘宁,Liu Ning,"Secretary, Henan Provincial Committee of the CPC; Secretary General of the SCMPC ",Provincial committee,习近平,Xi Jinping,清华大学,university/research,1,1,2,2,1978,1979,43,older overlap,1,education/early career,1,education/early career,near-peer rank at overlap,academia,Low,same university/research anchor is weaker evidence of factional connection,Y,Maybe Tsinghua,6.45,matched_title,24,usable,,清华大学 1978-1979: 1978-1983 清华大学 水利工程系水利水电工程专业学习 ↔ 习近平 1975-1979 清华大学化工系基本有机合成专业学习
刘金国,Liu Jinguo,Secretary of the CCP Secretariat; Deputy Secretary of CCDI;  Director of National Supervisory Commission,Central Party apparatus,习近平,Xi Jinping,河北,province/municipality,1,3,4,4,1982,1985,37,older overlap,3,vice-ministerial/provincial deputy,3,vice-ministerial/provincial deputy,near-peer rank at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,7.75,matched_title,23,usable,,"河北 1982-1983: 1976-1985 河北省昌黎县槐李庄公社党委副书记 （主持工作） 、书记 （其间：1983.09-1985.08，河北省委党校中青年干部培训班学习） ↔ 习近平 1982-1983 河北省正定县委副书记
河北 1983-1985: 1976-1985 河北省昌黎县槐李庄公社党委副书记 （主持工作） 、书记 （其间：1983.09-1985.08，河北省委党校中青年干部培训班学习） ↔ 习近平 1983-1985 河北省正定县委书记，正定县武装部第一政委、党委第一书记
河北 1985-1985: 1985-1986 河北省昌黎县刘台庄工委副书记 （主持工作） 、书记 ↔ 习近平 1983-1985 河北省正定县委书记，正定县武装部第一政委、党委第一书记"
卢红,Lu Hong (f.),Head of United Front Department of Chongqing Municipal Committee of the Chinese Communist Party,,李希,Li Xi,清华大学,university/research,1,1,1,1,2009,2009,13,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,academia,Low,same university/research anchor is weaker evidence of factional connection,,,0.85,matched_title,19,usable,,清华大学 2009-2009: 2005-2009 重庆市国有资产监督管理委员会政策法规处处长（其间：2009.03-2009.07 清华大学经济管理学院 工商管理高级课程班学习） ↔ 李希 2006-2011 陕西省委常委、延安市委书记 （其间：2007-2009年 兼任延安市人大常委会主任；2008-2011年 清华大学经济管理学院高级管理人员工商管理专业学习，获高级管理人员工商管理硕士学位）
叶建春,Ye Jianchun,Governor of Jiangxi,Provincial committee,丁薛祥,Ding Xuexiang,上海,province/municipality,1,20,22,22,1984,2005,17,older overlap,3,vice-ministerial/provincial deputy,4,ministerial/provincial chief,PBSC member likely senior at overlap,academia,High,same province/municipality with sustained or repeated overlapping career episodes,Y,"Shanghai (maybe, he worked for the water resources group)",45.0,matched_title,15,usable,,"上海 1984-1984: 1984-1988 上海勘测设计研究院规划处干部 ↔ 丁薛祥 1982-1984 上海材料研究所九室科研人员
上海 1984-1988: 1984-1988 上海勘测设计研究院规划处干部 ↔ 丁薛祥 1984-1988 上海材料研究所办公室副主任、团委书记
上海 1988-1988: 1984-1988 上海勘测设计研究院规划处干部 ↔ 丁薛祥 1988-1992 上海材料研究所办公室主任、宣传部主任
上海 1988-1988: 1988-1991 上海勘测设计研究院党办正科级干部 ↔ 丁薛祥 1984-1988 上海材料研究所办公室副主任、团委书记
上海 1988-1991: 1988-1991 上海勘测设计研究院党办正科级干部 ↔ 丁薛祥 1988-1992 上海材料研究所办公室主任、宣传部主任"
吴政隆,Wu Zhenglong,Secretary-General of the State Council of China,State Council,李强,Li Qiang,江苏,province/municipality,1,10,2,2,2016,2017,5,recent before 20th Congress,4,ministerial/provincial chief,5,national leadership,PBSC member likely senior at overlap,provincial,High,same province/municipality with sustained or repeated overlapping career episodes,,,7.5,matched_title,28,usable,,"江苏 2016-2016: 2016-2016 江苏省委副书记、南京市委书记 ↔ 李强 2016-2017 江苏省委书记
江苏 2016-2017: 2016-2017 江苏省委副书记、南京市委书记兼南京市江北新区党工委书记 ↔ 李强 2016-2017 江苏省委书记
江苏 2017-2017: 2016-2017 江苏省委副书记、南京市委书记兼南京市江北新区党工委书记 ↔ 李强 2017-2017 江苏省委书记、省人大常委会主任
江苏 2017-2017: 2016-2017 江苏省委副书记、南京市委书记兼南京市江北新区党工委书记 ↔ 李强 2017-2017 中央政治局委员，江苏省委书记、省人大常委会主任
江苏 2017-2017: 2017-2017 江苏省委副书记、副省长、代省长、省政府党组书记 ↔ 李强 2016-2017 江苏省委书记"
吴政隆,Wu Zhenglong,Secretary-General of the State Council of China,State Council,赵乐际,Zhao Leji,中国社会科学院,university/research,1,1,3,3,1996,1998,24,older overlap,1,education/early career,3,vice-ministerial/provincial deputy,PBSC member clearly senior at overlap,academia,Medium,same university/research anchor plus seniority relationship,,,3.05,matched_title,28,usable,,中国社会科学院 1996-1998: 1996-1998 机械工业部办公厅正处级秘书 （其间：1996.12-1998.11 中国社会科学院研究生院投资系投资管理学专业研究生课程班学习） ↔ 赵乐际 1997-1999 青海省委副书记、西宁市委书记（1996-1998年中国社会科学院研究生院货币银行专业研究生课程班学习；1998.09-1999.01中央党校省部级干部进修班学习）
周乃翔,Zhou Naixiang,Deputy Secretary of the Shandong Provincial Party Committee and Governor,Provincial committee,丁薛祥,Ding Xuexiang,上海,province/municipality,1,6,3,3,1994,1996,26,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,,High,same province/municipality with sustained or repeated overlapping career episodes,,,8.0,matched_title,23,usable,,"上海 1994-1994: 1994-1995 江苏省建筑工程总公司上海公司副经理 ↔ 丁薛祥 1992-1994 上海材料研究所九室主任 （其间：1993.09-1993.12上海市委党校中青年干部培训班学习）
上海 1994-1995: 1994-1995 江苏省建筑工程总公司上海公司副经理 ↔ 丁薛祥 1994-1996 上海材料研究所副所长 （1989-1994年复旦大学管理学院行政管理专业在职研究生学习，获理学硕士学位）
上海 1995-1996: 1995-1996 江苏省政府驻上海办事处建管处副处长 ↔ 丁薛祥 1994-1996 上海材料研究所副所长 （1989-1994年复旦大学管理学院行政管理专业在职研究生学习，获理学硕士学位）
上海 1996-1996: 1995-1996 江苏省政府驻上海办事处建管处副处长 ↔ 丁薛祥 1996-1999 上海材料研究所党委副书记、所长
上海 1996-1996: 1996-1996 江苏省建筑工程总公司上海公司经理 ↔ 丁薛祥 1994-1996 上海材料研究所副所长 （1989-1994年复旦大学管理学院行政管理专业在职研究生学习，获理学硕士学位）"
周乃翔,Zhou Naixiang,Deputy Secretary of the Shandong Provincial Party Committee and Governor,Provincial committee,李强,Li Qiang,江苏,province/municipality,1,5,2,2,2016,2017,5,recent before 20th Congress,3,vice-ministerial/provincial deputy,5,national leadership,PBSC member clearly senior at overlap,provincial,High,same province/municipality with sustained or repeated overlapping career episodes,,,6.25,matched_title,23,usable,,"江苏 2016-2016: 2012-2016 江苏省苏州市委副书记、代市长、市长 ↔ 李强 2016-2017 江苏省委书记
江苏 2016-2016: 2016-2016 江苏省苏州市委书记 ↔ 李强 2016-2017 江苏省委书记
江苏 2016-2017: 2016-2019 江苏省委常委、苏州市委书记 ↔ 李强 2016-2017 江苏省委书记
江苏 2017-2017: 2016-2019 江苏省委常委、苏州市委书记 ↔ 李强 2017-2017 江苏省委书记、省人大常委会主任
江苏 2017-2017: 2016-2019 江苏省委常委、苏州市委书记 ↔ 李强 2017-2017 中央政治局委员，江苏省委书记、省人大常委会主任"
周祖翼,Zhou Zuyi,Secretary of the Fujian Provincial Party Committee,Provincial committee,丁薛祥,Ding Xuexiang,上海,province/municipality,1,1,1,1,2008,2008,14,older overlap,4,ministerial/provincial chief,3,vice-ministerial/provincial deputy,connected individual senior/unclear at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,17,usable,,上海 2008-2008: 2008-2008 11月，任上海市委组织部副部长（正局级） ↔ 丁薛祥 2007-2012 上海市委常委、秘书长
周祖翼,Zhou Zuyi,Secretary of the Fujian Provincial Party Committee,Provincial committee,赵乐际,Zhao Leji,中央组织部,central party organ,1,2,2,1,2014,2016,6,medium-term before 20th Congress,4,ministerial/provincial chief,5,national leadership,PBSC member likely senior at overlap,party_center,Medium,same named central organization with limited overlap,,,4.3,matched_title,17,usable,,"中央组织部 2014-2014: 2014-2014 08月，任中央组织部部务委员（副部长级）兼干部二局局长 ↔ 赵乐际 2012-2017 中央政治局委员、中央书记处书记，中央组织部部长
中央组织部 2016-2016: 2016-2016 10月，任中央组织部副部长 ↔ 赵乐际 2012-2017 中央政治局委员、中央书记处书记，中央组织部部长"
唐登杰,Tang Dengjie,Sectretary of the Shanxi  Provincial Party Committee,Provincial committee,丁薛祥,Ding Xuexiang,上海,province/municipality,1,20,26,26,1986,2011,11,older overlap,3,vice-ministerial/provincial deputy,4,ministerial/provincial chief,PBSC member likely senior at overlap,academia,High,same province/municipality with sustained or repeated overlapping career episodes,,,46.0,matched_title,19,usable,,"上海 1986-1988: 1986-1990 上海大众汽车有限公司生产规划部工业工程科技术更改员、生产控制股股长 ↔ 丁薛祥 1984-1988 上海材料研究所办公室副主任、团委书记
上海 1988-1990: 1986-1990 上海大众汽车有限公司生产规划部工业工程科技术更改员、生产控制股股长 ↔ 丁薛祥 1988-1992 上海材料研究所办公室主任、宣传部主任
上海 1990-1992: 1990-1994 上海大众汽车有限公司生产规划部工业工程科经理 ↔ 丁薛祥 1988-1992 上海材料研究所办公室主任、宣传部主任
上海 1992-1994: 1990-1994 上海大众汽车有限公司生产规划部工业工程科经理 ↔ 丁薛祥 1992-1994 上海材料研究所九室主任 （其间：1993.09-1993.12上海市委党校中青年干部培训班学习）
上海 1994-1994: 1990-1994 上海大众汽车有限公司生产规划部工业工程科经理 ↔ 丁薛祥 1994-1996 上海材料研究所副所长 （1989-1994年复旦大学管理学院行政管理专业在职研究生学习，获理学硕士学位）"
唐登杰,Tang Dengjie,Sectretary of the Shanxi  Provincial Party Committee,Provincial committee,李希,Li Xi,上海,province/municipality,1,1,1,1,2011,2011,11,older overlap,2,local/department leadership,4,ministerial/provincial chief,PBSC member clearly senior at overlap,,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,19,usable,,上海 2011-2011: 2003-2011 上海市人民政府副市长、党组成员（其间：2004.10-2004.12国防大学国防战略研究班学习） ↔ 李希 2011-2013 上海市委常委、组织部部长
唐登杰,Tang Dengjie,Sectretary of the Shanxi  Provincial Party Committee,Provincial committee,习近平,Xi Jinping,上海,province/municipality,1,1,1,1,2007,2007,15,older overlap,2,local/department leadership,2,local/department leadership,near-peer rank at overlap,,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,19,usable,,上海 2007-2007: 2003-2011 上海市人民政府副市长、党组成员（其间：2004.10-2004.12国防大学国防战略研究班学习） ↔ 习近平 2007-2007 上海市委书记，上海警备区党委第一书记
孟凡利,Meng Fanli,Party Secretary of Shenzhen; Deputy Secretary of the Guandong Provincial Party ,Provincial committee,李希,Li Xi,广东,province/municipality,1,4,1,1,2022,2022,0,active/after 20th Congress,3,vice-ministerial/provincial deputy,6,top leadership/PBSC,PBSC member clearly senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,3.5,matched_title,23,usable,,"广东 2022-2022: 2022-2022 广东省委副书记、深圳市委书记 ↔ 李希 2017-2022 中央政治局委员，广东省委书记
广东 2022-2022: 2022-2022 广东省委副书记、深圳市委书记 ↔ 李希 2022-2022 中央政治局常委，中央纪律检查委员会书记，广东省委书记
广东 2022-2022: 2022-2025 广东省委副书记、深圳市委书记，深圳警备区党委第一书记 ↔ 李希 2017-2022 中央政治局委员，广东省委书记
广东 2022-2022: 2022-2025 广东省委副书记、深圳市委书记，深圳警备区党委第一书记 ↔ 李希 2022-2022 中央政治局常委，中央纪律检查委员会书记，广东省委书记"
孟祥锋,Meng Xiangfeng,Deputy Director of the General Office of the Central Committee,Central Party apparatus,蔡奇,Cai Qi,浙江,province/municipality,1,2,1,1,2007,2007,15,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,3.0,matched_title,9,usable,,"浙江 2007-2007: 2007-2007 04月，浙江省杭州市委委员、常委； ↔ 蔡奇 2004-2007 浙江省台州市委书记
浙江 2007-2007: 2007-2007 04月，浙江省杭州市委委员、常委； ↔ 蔡奇 2007-2010 浙江省杭州市委副书记、市长"
孟祥锋,Meng Xiangfeng,Deputy Director of the General Office of the Central Committee,Central Party apparatus,丁薛祥,Ding Xuexiang,中央办公厅,central party organ,1,3,2,1,2015,2020,2,recent before 20th Congress,3,vice-ministerial/provincial deputy,6,top leadership/PBSC,PBSC member clearly senior at overlap,party_center,High,same named central organization with sustained or repeated overlap,,,5.55,matched_title,9,usable,,"中央办公厅 2015-2015: 2015-2015 04月，中央办公厅副主任； ↔ 丁薛祥 2013-2015 中央办公厅副主任兼国家主席办公室主任
中央办公厅 2015-2015: 2015-2015 04月，中央办公厅副主任； ↔ 丁薛祥 2015-2017 中央办公厅主持常务工作的副主任 （正部长级） 兼国家主席办公室主任
中央办公厅 2020-2020: 2020-2020 中央办公厅分管日常工作的副主任。 ↔ 丁薛祥 2018-2022 中央政治局委员、中央书记处书记，中央办公厅主任兼国家主席办公室主任，中央和国家机关工委书记"
孟祥锋,Meng Xiangfeng,Deputy Director of the General Office of the Central Committee,Central Party apparatus,李强,Li Qiang,浙江,province/municipality,1,1,1,1,2007,2007,15,older overlap,2,local/department leadership,1,education/early career,connected individual senior/unclear at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,9,usable,,浙江 2007-2007: 2007-2007 04月，浙江省杭州市委委员、常委； ↔ 李强 2005-2011 浙江省委常委、秘书长 （2003-2005年 香港理工大学管理学院工商管理专业学习，获高级管理人员工商管理硕士学位）
孟祥锋,Meng Xiangfeng,Deputy Director of the General Office of the Central Committee,Central Party apparatus,习近平,Xi Jinping,浙江,province/municipality,1,1,1,1,2007,2007,15,older overlap,2,local/department leadership,4,ministerial/provincial chief,PBSC member clearly senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,9,usable,,浙江 2007-2007: 2007-2007 04月，浙江省杭州市委委员、常委； ↔ 习近平 2003-2007 浙江省委书记、省人大常委会主任，浙江省军区党委第一书记
尹力,Yin Li,Party Secretary of Beijing,Municipal Committee,蔡奇,Cai Qi,北京,province/municipality,1,2,1,1,2022,2022,0,active/after 20th Congress,5,national leadership,5,national leadership,near-peer rank at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,3.0,matched_title,21,usable,,"北京 2022-2022: 2022-2022 中央政治局委员、北京市委书记 ↔ 蔡奇 2017-2022 中央政治局委员，北京市委书记，北京2022年冬奥会和冬残奥会组织委员会主席、党组书记
北京 2022-2022: 2022-2022 中央政治局委员、北京市委书记 ↔ 蔡奇 2022-2023 中央 政治局常委、中央书记处书记，北京2022年冬奥会和冬残奥会组织委员会主席、党组书记"
尹弘,Yin Hong,"Party Secretary of Jiangxi; secretary general of the SCMPC;
Director of the Jiangxi Provincial Committee of Finance Committee",Provincial committee,丁薛祥,Ding Xuexiang,上海,province/municipality,1,27,20,20,1994,2013,9,medium-term before 20th Congress,3,vice-ministerial/provincial deputy,4,ministerial/provincial chief,PBSC member likely senior at overlap,provincial,High,same province/municipality with sustained or repeated overlapping career episodes,,,38.75,matched_title,25,usable,,"上海 1994-1994: 1994-1996 上海市计划委员会办公室副主任 ↔ 丁薛祥 1992-1994 上海材料研究所九室主任 （其间：1993.09-1993.12上海市委党校中青年干部培训班学习）
上海 1994-1996: 1994-1996 上海市计划委员会办公室副主任 ↔ 丁薛祥 1994-1996 上海材料研究所副所长 （1989-1994年复旦大学管理学院行政管理专业在职研究生学习，获理学硕士学位）
上海 1996-1996: 1994-1996 上海市计划委员会办公室副主任 ↔ 丁薛祥 1996-1999 上海材料研究所党委副书记、所长
上海 1996-1996: 1996-1998 上海市松江县副县长（正处级） ↔ 丁薛祥 1994-1996 上海材料研究所副所长 （1989-1994年复旦大学管理学院行政管理专业在职研究生学习，获理学硕士学位）
上海 1996-1998: 1996-1998 上海市松江县副县长（正处级） ↔ 丁薛祥 1996-1999 上海材料研究所党委副书记、所长"
